date,value
"2020-04-05",-24
"2020-04-04",-26
"2020-04-03",-42
"2020-04-02",-44
"2020-04-01",-43
"2020-03-31",-42
"2020-03-30",-41
"2020-03-29",-25
"2020-03-28",-23
"2020-03-27",-40
"2020-03-26",-41
"2020-03-25",-41
"2020-03-24",-40
"2020-03-23",-39
"2020-03-22",-23
"2020-03-21",-19
"2020-03-20",-34
"2020-03-19",-38
"2020-03-18",-37
"2020-03-17",-35
"2020-03-16",-31
"2020-03-15",-15
"2020-03-14",-8
"2020-03-13",-15
"2020-03-12",-7
"2020-03-11",0
"2020-03-10",1
"2020-03-09",2
"2020-03-08",4
"2020-03-07",5
"2020-03-06",3
"2020-03-05",2
"2020-03-04",2
"2020-03-03",2
"2020-03-02",2
"2020-03-01",3
"2020-02-29",3
"2020-02-28",3
"2020-02-27",1
"2020-02-26",2
"2020-02-25",2
"2020-02-24",2
"2020-02-23",2
"2020-02-22",1
"2020-02-21",0
"2020-02-20",1
"2020-02-19",2
"2020-02-18",2
"2020-02-17",2
"2020-02-16",1
