date,value
"2020-04-05",-21
"2020-04-04",-27
"2020-04-03",-28
"2020-04-02",-30
"2020-04-01",-29
"2020-03-31",-29
"2020-03-30",-31
"2020-03-29",-28
"2020-03-28",-28
"2020-03-27",-33
"2020-03-26",-32
"2020-03-25",-32
"2020-03-24",-9
"2020-03-23",-15
"2020-03-22",-18
"2020-03-21",-11
"2020-03-20",-13
"2020-03-19",-10
"2020-03-18",0
"2020-03-17",5
"2020-03-16",8
"2020-03-15",13
"2020-03-14",12
"2020-03-13",9
"2020-03-12",10
"2020-03-11",9
"2020-03-10",7
"2020-03-09",6
"2020-03-08",8
"2020-03-07",8
"2020-03-06",7
"2020-03-05",7
"2020-03-04",7
"2020-03-03",7
"2020-03-02",8
"2020-03-01",8
"2020-02-29",8
"2020-02-28",5
"2020-02-27",5
"2020-02-26",7
"2020-02-25",6
"2020-02-24",7
"2020-02-23",7
"2020-02-22",6
"2020-02-21",4
"2020-02-20",4
"2020-02-19",5
"2020-02-18",4
"2020-02-17",5
"2020-02-16",1
