date,value
"2020-04-11",-29
"2020-04-10",-38
"2020-04-09",-32
"2020-04-08",-34
"2020-04-07",-29
"2020-04-06",-30
"2020-04-05",-27
"2020-04-04",-32
"2020-04-03",-36
"2020-04-02",-34
"2020-04-01",-31
"2020-03-31",-32
"2020-03-30",-36
"2020-03-29",-32
"2020-03-28",-29
"2020-03-27",-36
"2020-03-26",-35
"2020-03-25",-36
"2020-03-24",-20
"2020-03-23",-23
"2020-03-22",-23
"2020-03-21",-19
"2020-03-20",-20
"2020-03-19",-14
"2020-03-18",-2
"2020-03-17",4
"2020-03-16",8
"2020-03-15",12
"2020-03-14",15
"2020-03-13",18
"2020-03-12",18
"2020-03-11",15
"2020-03-10",14
"2020-03-09",15
"2020-03-08",14
"2020-03-07",14
"2020-03-06",16
"2020-03-05",13
"2020-03-04",9
"2020-03-03",10
"2020-03-02",12
"2020-03-01",13
"2020-02-29",12
"2020-02-28",10
"2020-02-27",10
"2020-02-26",13
"2020-02-25",12
"2020-02-24",14
"2020-02-23",10
"2020-02-22",11
"2020-02-21",4
"2020-02-20",6
"2020-02-19",8
"2020-02-18",9
"2020-02-17",12
"2020-02-16",27
