date,value
"2020-04-05",20
"2020-04-04",18
"2020-04-03",15
"2020-04-02",22
"2020-04-01",19
"2020-03-31",20
"2020-03-30",20
"2020-03-29",21
"2020-03-28",17
"2020-03-27",14
"2020-03-26",20
"2020-03-25",19
"2020-03-24",12
"2020-03-23",13
"2020-03-22",15
"2020-03-21",11
"2020-03-20",10
"2020-03-19",11
"2020-03-18",8
"2020-03-17",5
"2020-03-16",4
"2020-03-15",3
"2020-03-14",1
"2020-03-13",0
"2020-03-12",0
"2020-03-11",-1
"2020-03-10",-1
"2020-03-09",-2
"2020-03-08",-1
"2020-03-07",-1
"2020-03-06",0
"2020-03-05",0
"2020-03-04",1
"2020-03-03",1
"2020-03-02",0
"2020-03-01",0
"2020-02-29",0
"2020-02-28",0
"2020-02-27",0
"2020-02-26",1
"2020-02-25",0
"2020-02-24",0
"2020-02-23",0
"2020-02-22",0
"2020-02-21",0
"2020-02-20",1
"2020-02-19",1
"2020-02-18",-1
"2020-02-17",1
"2020-02-16",4
