date,value
"2020-04-11",-46
"2020-04-10",-53
"2020-04-09",-49
"2020-04-08",-52
"2020-04-07",-48
"2020-04-06",-47
"2020-04-05",-44
"2020-04-04",-48
"2020-04-03",-50
"2020-04-02",-52
"2020-04-01",-51
"2020-03-31",-51
"2020-03-30",-53
"2020-03-29",-49
"2020-03-28",-49
"2020-03-27",-50
"2020-03-26",-53
"2020-03-25",-53
"2020-03-24",-36
"2020-03-23",-38
"2020-03-22",-38
"2020-03-21",-30
"2020-03-20",-34
"2020-03-19",-29
"2020-03-18",-17
"2020-03-17",-11
"2020-03-16",-7
"2020-03-15",-1
"2020-03-14",2
"2020-03-13",5
"2020-03-12",5
"2020-03-11",4
"2020-03-10",4
"2020-03-09",4
"2020-03-08",4
"2020-03-07",4
"2020-03-06",4
"2020-03-05",5
"2020-03-04",4
"2020-03-03",4
"2020-03-02",5
"2020-03-01",6
"2020-02-29",6
"2020-02-28",3
"2020-02-27",3
"2020-02-26",3
"2020-02-25",4
"2020-02-24",5
"2020-02-23",5
"2020-02-22",5
"2020-02-21",3
"2020-02-20",3
"2020-02-19",2
"2020-02-18",2
"2020-02-17",3
"2020-02-16",-1
