date,value
"2020-04-11",-47
"2020-04-10",-54
"2020-04-09",-51
"2020-04-08",-51
"2020-04-07",-50
"2020-04-06",-49
"2020-04-05",-49
"2020-04-04",-51
"2020-04-03",-54
"2020-04-02",-53
"2020-04-01",-54
"2020-03-31",-54
"2020-03-30",-57
"2020-03-29",-52
"2020-03-28",-52
"2020-03-27",-56
"2020-03-26",-57
"2020-03-25",-59
"2020-03-24",-44
"2020-03-23",-45
"2020-03-22",-48
"2020-03-21",-41
"2020-03-20",-41
"2020-03-19",-34
"2020-03-18",-28
"2020-03-17",-22
"2020-03-16",-14
"2020-03-15",-7
"2020-03-14",-1
"2020-03-13",0
"2020-03-12",1
"2020-03-11",-1
"2020-03-10",-5
"2020-03-09",-4
"2020-03-08",-2
"2020-03-07",-1
"2020-03-06",3
"2020-03-05",7
"2020-03-04",2
"2020-03-03",1
"2020-03-02",5
"2020-03-01",5
"2020-02-29",5
"2020-02-28",9
"2020-02-27",9
"2020-02-26",10
"2020-02-25",7
"2020-02-24",7
"2020-02-23",4
"2020-02-22",4
"2020-02-21",10
"2020-02-20",8
"2020-02-19",6
"2020-02-18",1
"2020-02-17",4
"2020-02-16",-4
