date,value
"2020-04-11",-37
"2020-04-10",-37
"2020-04-09",-31
"2020-04-08",-33
"2020-04-07",-31
"2020-04-06",-33
"2020-04-05",-46
"2020-04-04",-42
"2020-04-03",-39
"2020-04-02",-38
"2020-04-01",-41
"2020-03-31",-47
"2020-03-30",-43
"2020-03-29",-43
"2020-03-28",-43
"2020-03-27",-41
"2020-03-26",-39
"2020-03-25",-44
"2020-03-24",-42
"2020-03-23",-40
"2020-03-22",-53
"2020-03-21",-36
"2020-03-20",-27
"2020-03-19",-21
"2020-03-18",-24
"2020-03-17",-26
"2020-03-16",-21
"2020-03-15",-26
"2020-03-14",-16
"2020-03-13",-4
"2020-03-12",6
"2020-03-11",5
"2020-03-10",0
"2020-03-09",3
"2020-03-08",11
"2020-03-07",19
"2020-03-06",18
"2020-03-05",6
"2020-03-04",5
"2020-03-03",14
"2020-03-02",9
"2020-03-01",3
"2020-02-29",7
"2020-02-28",4
"2020-02-27",-1
"2020-02-26",-2
"2020-02-25",11
"2020-02-24",0
"2020-02-23",-10
"2020-02-22",6
"2020-02-21",2
"2020-02-20",3
"2020-02-19",6
"2020-02-18",8
"2020-02-17",7
"2020-02-16",4
