date,value
"2020-03-29",-18
"2020-03-28",-19
"2020-03-27",-16
"2020-03-26",-10
"2020-03-25",-1
"2020-03-24",-5
"2020-03-23",-3
"2020-03-22",-6
"2020-03-21",-8
"2020-03-20",-8
"2020-03-19",-3
"2020-03-18",-1
"2020-03-17",-5
"2020-03-16",-5
"2020-03-15",-4
"2020-03-14",-5
"2020-03-13",-4
"2020-03-12",-2
"2020-03-11",1
"2020-03-10",-1
"2020-03-09",0
"2020-03-08",2
"2020-03-07",1
"2020-03-06",-1
"2020-03-05",-1
"2020-03-04",1
"2020-03-03",0
"2020-03-02",0
"2020-03-01",1
"2020-02-29",-3
"2020-02-28",-4
"2020-02-27",-2
"2020-02-26",1
"2020-02-25",1
"2020-02-24",1
"2020-02-23",1
"2020-02-22",-4
"2020-02-21",-4
"2020-02-20",-3
"2020-02-19",-1
"2020-02-18",-2
"2020-02-17",-4
"2020-02-16",0
