date,value
"2020-04-05",-38
"2020-04-04",-32
"2020-04-03",-31
"2020-04-02",-24
"2020-04-01",-31
"2020-03-31",-27
"2020-03-30",-25
"2020-03-29",-36
"2020-03-28",-30
"2020-03-27",-25
"2020-03-26",-29
"2020-03-25",-17
"2020-03-24",-15
"2020-03-23",-16
"2020-03-22",-24
"2020-03-21",-21
"2020-03-20",-12
"2020-03-19",-13
"2020-03-18",-10
"2020-03-17",-9
"2020-03-16",-7
"2020-03-15",-13
"2020-03-14",-14
"2020-03-13",-10
"2020-03-12",-7
"2020-03-11",-5
"2020-03-10",0
"2020-03-09",-1
"2020-03-08",-5
"2020-03-07",-6
"2020-03-06",-4
"2020-03-05",-2
"2020-03-04",-2
"2020-03-03",-2
"2020-03-02",0
"2020-03-01",-1
"2020-02-29",-3
"2020-02-28",-3
"2020-02-27",-2
"2020-02-26",-1
"2020-02-25",0
"2020-02-24",3
"2020-02-23",1
"2020-02-22",-4
"2020-02-21",-5
"2020-02-20",-4
"2020-02-19",-1
"2020-02-18",0
"2020-02-17",7
"2020-02-16",8
