date,value
"2020-03-29",0
"2020-03-28",-3
"2020-03-27",-9
"2020-03-26",-32
"2020-03-25",-6
"2020-03-24",-3
"2020-03-23",-2
"2020-03-22",0
"2020-03-21",0
"2020-03-20",-2
"2020-03-19",-2
"2020-03-18",3
"2020-03-17",4
"2020-03-16",5
"2020-03-15",6
"2020-03-14",5
"2020-03-13",6
"2020-03-12",6
"2020-03-11",6
"2020-03-10",7
"2020-03-09",7
"2020-03-08",7
"2020-03-07",7
"2020-03-06",7
"2020-03-05",7
"2020-03-04",7
"2020-03-03",7
"2020-03-02",7
"2020-03-01",7
"2020-02-29",6
"2020-02-28",6
"2020-02-27",5
"2020-02-26",5
"2020-02-25",6
"2020-02-24",5
"2020-02-23",5
"2020-02-22",3
"2020-02-21",5
"2020-02-20",4
"2020-02-19",4
"2020-02-18",3
"2020-02-17",5
"2020-02-16",5
