date,value
"2020-04-05",-41
"2020-04-04",-40
"2020-04-03",-39
"2020-04-02",-36
"2020-04-01",-35
"2020-03-31",-31
"2020-03-30",-30
"2020-03-29",-35
"2020-03-28",-31
"2020-03-27",-30
"2020-03-26",-17
"2020-03-25",-13
"2020-03-24",-4
"2020-03-23",-5
"2020-03-22",-9
"2020-03-21",-8
"2020-03-20",-4
"2020-03-19",-4
"2020-03-18",-3
"2020-03-17",-2
"2020-03-16",1
"2020-03-15",-2
"2020-03-14",-3
"2020-03-13",-1
"2020-03-12",1
"2020-03-11",2
"2020-03-10",3
"2020-03-09",2
"2020-03-08",0
"2020-03-07",2
"2020-03-06",5
"2020-03-05",5
"2020-03-04",3
"2020-03-03",3
"2020-03-02",2
"2020-03-01",0
"2020-02-29",3
"2020-02-28",4
"2020-02-27",1
"2020-02-26",-2
"2020-02-25",-2
"2020-02-24",0
"2020-02-23",0
"2020-02-22",-1
"2020-02-21",-1
"2020-02-20",-1
"2020-02-19",0
"2020-02-18",-3
"2020-02-17",0
"2020-02-16",1
