date,value
"2020-04-05",-12
"2020-04-04",-10
"2020-04-03",-12
"2020-04-02",-10
"2020-04-01",-12
"2020-03-31",-15
"2020-03-30",-17
"2020-03-29",-16
"2020-03-28",-17
"2020-03-27",-19
"2020-03-26",-20
"2020-03-25",-21
"2020-03-24",-19
"2020-03-23",-15
"2020-03-22",-16
"2020-03-21",-17
"2020-03-20",-21
"2020-03-19",-22
"2020-03-18",-15
"2020-03-17",-14
"2020-03-16",-13
"2020-03-15",-35
"2020-03-14",-47
"2020-03-13",-48
"2020-03-12",-49
"2020-03-11",-48
"2020-03-10",-36
"2020-03-09",-20
"2020-03-08",-8
"2020-03-07",-4
"2020-03-06",-8
"2020-03-05",-11
"2020-03-04",-12
"2020-03-03",-15
"2020-03-02",-20
"2020-03-01",-28
"2020-02-29",-34
"2020-02-28",-36
"2020-02-27",-40
"2020-02-26",-49
"2020-02-25",-66
"2020-02-24",-66
"2020-02-23",-55
"2020-02-22",-15
"2020-02-21",7
"2020-02-20",3
"2020-02-19",-1
"2020-02-18",-1
"2020-02-17",-2
"2020-02-16",-3
