date,value
"2020-04-05",-38
"2020-04-04",-49
"2020-04-03",-62
"2020-04-02",-56
"2020-04-01",-41
"2020-03-31",-20
"2020-03-30",-51
"2020-03-29",-45
"2020-03-28",-42
"2020-03-27",-54
"2020-03-26",-56
"2020-03-25",-66
"2020-03-24",-54
"2020-03-23",-47
"2020-03-22",-65
"2020-03-21",-69
"2020-03-20",-47
"2020-03-19",-19
"2020-03-18",-29
"2020-03-17",-41
"2020-03-16",-32
"2020-03-15",-22
"2020-03-14",-15
"2020-03-13",-8
"2020-03-12",0
"2020-03-11",12
"2020-03-10",8
"2020-03-09",8
"2020-03-08",7
"2020-03-07",-3
"2020-03-06",7
"2020-03-05",20
"2020-03-04",9
"2020-03-03",-5
"2020-03-02",7
"2020-03-01",29
"2020-02-29",21
"2020-02-28",16
"2020-02-27",14
"2020-02-26",16
"2020-02-25",34
"2020-02-24",65
"2020-02-23",62
"2020-02-22",60
"2020-02-21",56
"2020-02-20",35
"2020-02-19",22
"2020-02-18",18
"2020-02-17",24
"2020-02-16",32
