date,value
"2020-04-05",-90
"2020-04-04",-62
"2020-04-03",-60
"2020-04-02",-56
"2020-04-01",-79
"2020-03-31",-81
"2020-03-30",-81
"2020-03-29",-86
"2020-03-28",-87
"2020-03-27",-87
"2020-03-26",-89
"2020-03-25",-94
"2020-03-24",-75
"2020-03-23",-64
"2020-03-22",-85
"2020-03-21",-64
"2020-03-20",-43
"2020-03-19",19
"2020-03-18",3
"2020-03-17",-8
"2020-03-16",2
"2020-03-15",10
"2020-03-14",5
"2020-03-13",-9
"2020-03-12",-25
"2020-03-11",-14
"2020-03-10",-5
"2020-03-09",-5
"2020-03-08",0
"2020-03-07",-1
"2020-03-06",-3
"2020-03-05",-1
"2020-03-04",1
"2020-03-03",2
"2020-03-02",4
"2020-03-01",6
"2020-02-29",11
"2020-02-28",7
"2020-02-27",-1
"2020-02-26",-3
"2020-02-25",-4
"2020-02-24",-4
"2020-02-23",-5
"2020-02-22",-3
"2020-02-21",-5
"2020-02-20",-27
"2020-02-19",-3
"2020-02-18",-6
"2020-02-17",-3
"2020-02-16",-3
