date,value
"2020-04-05",-91
"2020-04-04",-82
"2020-04-03",-83
"2020-04-02",-79
"2020-04-01",-88
"2020-03-31",-88
"2020-03-30",-88
"2020-03-29",-89
"2020-03-28",-91
"2020-03-27",-92
"2020-03-26",-92
"2020-03-25",-95
"2020-03-24",-88
"2020-03-23",-84
"2020-03-22",-89
"2020-03-21",-84
"2020-03-20",-77
"2020-03-19",-29
"2020-03-18",-10
"2020-03-17",-10
"2020-03-16",-5
"2020-03-15",0
"2020-03-14",-2
"2020-03-13",-19
"2020-03-12",-25
"2020-03-11",-7
"2020-03-10",-2
"2020-03-09",-4
"2020-03-08",1
"2020-03-07",3
"2020-03-06",0
"2020-03-05",1
"2020-03-04",5
"2020-03-03",5
"2020-03-02",7
"2020-03-01",11
"2020-02-29",17
"2020-02-28",12
"2020-02-27",3
"2020-02-26",2
"2020-02-25",0
"2020-02-24",-1
"2020-02-23",-4
"2020-02-22",-2
"2020-02-21",-6
"2020-02-20",-32
"2020-02-19",-2
"2020-02-18",-3
"2020-02-17",-1
"2020-02-16",-3
