date,value
"2020-03-29",-89
"2020-03-28",-90
"2020-03-27",-90
"2020-03-26",-91
"2020-03-25",-92
"2020-03-24",-90
"2020-03-23",-85
"2020-03-22",-83
"2020-03-21",-76
"2020-03-20",-72
"2020-03-19",-40
"2020-03-18",-15
"2020-03-17",-21
"2020-03-16",-13
"2020-03-15",-13
"2020-03-14",-14
"2020-03-13",-27
"2020-03-12",-38
"2020-03-11",-27
"2020-03-10",-21
"2020-03-09",-14
"2020-03-08",-10
"2020-03-07",-9
"2020-03-06",-3
"2020-03-05",-1
"2020-03-04",-3
"2020-03-03",-3
"2020-03-02",-1
"2020-03-01",-1
"2020-02-29",2
"2020-02-28",2
"2020-02-27",0
"2020-02-26",-1
"2020-02-25",-4
"2020-02-24",-2
"2020-02-23",-4
"2020-02-22",-10
"2020-02-21",-11
"2020-02-20",-29
"2020-02-19",-4
"2020-02-18",7
"2020-02-17",4
"2020-02-16",0
