date,value
"2020-03-29",-69
"2020-03-28",-73
"2020-03-27",-86
"2020-03-26",-89
"2020-03-25",-91
"2020-03-24",-88
"2020-03-23",-84
"2020-03-22",-66
"2020-03-21",-56
"2020-03-20",-67
"2020-03-19",-32
"2020-03-18",-2
"2020-03-17",-10
"2020-03-16",-2
"2020-03-15",1
"2020-03-14",19
"2020-03-13",4
"2020-03-12",-45
"2020-03-11",-34
"2020-03-10",-12
"2020-03-09",-5
"2020-03-08",1
"2020-03-07",15
"2020-03-06",25
"2020-03-05",10
"2020-03-04",3
"2020-03-03",5
"2020-03-02",3
"2020-03-01",3
"2020-02-29",13
"2020-02-28",29
"2020-02-27",12
"2020-02-26",3
"2020-02-25",6
"2020-02-24",4
"2020-02-23",4
"2020-02-22",5
"2020-02-21",14
"2020-02-20",-57
"2020-02-19",-14
"2020-02-18",-2
"2020-02-17",0
"2020-02-16",3
