date,value
"2020-03-29",11
"2020-03-28",12
"2020-03-27",17
"2020-03-26",16
"2020-03-25",16
"2020-03-24",14
"2020-03-23",13
"2020-03-22",9
"2020-03-21",9
"2020-03-20",9
"2020-03-19",7
"2020-03-18",6
"2020-03-17",3
"2020-03-16",10
"2020-03-15",3
"2020-03-14",-1
"2020-03-13",-1
"2020-03-12",-1
"2020-03-11",-1
"2020-03-10",-1
"2020-03-09",3
"2020-03-08",3
"2020-03-07",0
"2020-03-06",-1
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",-2
"2020-03-01",-1
"2020-02-29",-1
"2020-02-28",-1
"2020-02-27",-2
"2020-02-26",-1
"2020-02-25",-1
"2020-02-24",-1
"2020-02-23",-1
"2020-02-22",-1
"2020-02-21",0
"2020-02-20",-1
"2020-02-19",-1
"2020-02-18",-1
"2020-02-17",-2
"2020-02-16",-2
