date,value
"2020-03-29",-47
"2020-03-28",-43
"2020-03-27",-47
"2020-03-26",-46
"2020-03-25",-44
"2020-03-24",-41
"2020-03-23",-37
"2020-03-22",-34
"2020-03-21",-29
"2020-03-20",-27
"2020-03-19",-23
"2020-03-18",-18
"2020-03-17",-11
"2020-03-16",-24
"2020-03-15",-12
"2020-03-14",1
"2020-03-13",4
"2020-03-12",4
"2020-03-11",2
"2020-03-10",3
"2020-03-09",-8
"2020-03-08",-7
"2020-03-07",3
"2020-03-06",2
"2020-03-05",3
"2020-03-04",3
"2020-03-03",2
"2020-03-02",3
"2020-03-01",5
"2020-02-29",6
"2020-02-28",5
"2020-02-27",5
"2020-02-26",2
"2020-02-25",1
"2020-02-24",2
"2020-02-23",4
"2020-02-22",6
"2020-02-21",4
"2020-02-20",4
"2020-02-19",3
"2020-02-18",3
"2020-02-17",3
"2020-02-16",5
