date,value
"2020-04-11",-68
"2020-04-10",-62
"2020-04-09",-58
"2020-04-08",-57
"2020-04-07",-57
"2020-04-06",-57
"2020-04-05",-68
"2020-04-04",-69
"2020-04-03",-63
"2020-04-02",-58
"2020-04-01",-57
"2020-03-31",-57
"2020-03-30",-57
"2020-03-29",-68
"2020-03-28",-68
"2020-03-27",-62
"2020-03-26",-57
"2020-03-25",-56
"2020-03-24",-57
"2020-03-23",-57
"2020-03-22",-67
"2020-03-21",-66
"2020-03-20",-58
"2020-03-19",-47
"2020-03-18",-35
"2020-03-17",-12
"2020-03-16",4
"2020-03-15",6
"2020-03-14",2
"2020-03-13",-3
"2020-03-12",-6
"2020-03-11",-7
"2020-03-10",-7
"2020-03-09",-5
"2020-03-08",-1
"2020-03-07",0
"2020-03-06",-3
"2020-03-05",-5
"2020-03-04",-5
"2020-03-03",-5
"2020-03-02",-5
"2020-03-01",-1
"2020-02-29",4
"2020-02-28",4
"2020-02-27",-2
"2020-02-26",-3
"2020-02-25",-4
"2020-02-24",-4
"2020-02-23",-4
"2020-02-22",1
"2020-02-21",2
"2020-02-20",-3
"2020-02-19",-2
"2020-02-18",-3
"2020-02-17",-8
"2020-02-16",-4
