date,value
"2020-04-05",-84
"2020-04-04",-83
"2020-04-03",-82
"2020-04-02",-80
"2020-04-01",-79
"2020-03-31",-78
"2020-03-30",-79
"2020-03-29",-83
"2020-03-28",-81
"2020-03-27",-80
"2020-03-26",-78
"2020-03-25",-77
"2020-03-24",-78
"2020-03-23",-78
"2020-03-22",-81
"2020-03-21",-76
"2020-03-20",-71
"2020-03-19",-61
"2020-03-18",-42
"2020-03-17",-8
"2020-03-16",-2
"2020-03-15",-2
"2020-03-14",-1
"2020-03-13",-2
"2020-03-12",-5
"2020-03-11",-8
"2020-03-10",-10
"2020-03-09",-9
"2020-03-08",-4
"2020-03-07",-2
"2020-03-06",-4
"2020-03-05",-5
"2020-03-04",-6
"2020-03-03",-7
"2020-03-02",-6
"2020-03-01",-1
"2020-02-29",4
"2020-02-28",2
"2020-02-27",-1
"2020-02-26",-5
"2020-02-25",-7
"2020-02-24",-7
"2020-02-23",-5
"2020-02-22",-1
"2020-02-21",-1
"2020-02-20",-3
"2020-02-19",-5
"2020-02-18",-7
"2020-02-17",-9
"2020-02-16",-6
