date,value
"2020-03-29",1
"2020-03-28",-2
"2020-03-27",-4
"2020-03-26",-6
"2020-03-25",-2
"2020-03-24",0
"2020-03-23",7
"2020-03-22",1
"2020-03-21",2
"2020-03-20",17
"2020-03-19",18
"2020-03-18",19
"2020-03-17",20
"2020-03-16",23
"2020-03-15",6
"2020-03-14",2
"2020-03-13",15
"2020-03-12",20
"2020-03-11",20
"2020-03-10",22
"2020-03-09",24
"2020-03-08",13
"2020-03-07",3
"2020-03-06",14
"2020-03-05",21
"2020-03-04",20
"2020-03-03",21
"2020-03-02",23
"2020-03-01",15
"2020-02-29",0
"2020-02-28",7
"2020-02-27",17
"2020-02-26",16
"2020-02-25",17
"2020-02-24",18
"2020-02-23",15
"2020-02-22",-4
"2020-02-21",4
"2020-02-20",16
"2020-02-19",13
"2020-02-18",13
"2020-02-17",15
"2020-02-16",18
