date,value
"2020-03-29",-42
"2020-03-28",-32
"2020-03-27",11
"2020-03-26",18
"2020-03-25",14
"2020-03-24",-2
"2020-03-23",-9
"2020-03-22",-14
"2020-03-21",-15
"2020-03-20",-1
"2020-03-19",-10
"2020-03-18",-12
"2020-03-17",-11
"2020-03-16",-3
"2020-03-15",-4
"2020-03-14",-3
"2020-03-13",-3
"2020-03-12",-6
"2020-03-11",-7
"2020-03-10",-7
"2020-03-09",-7
"2020-03-08",-3
"2020-03-07",2
"2020-03-06",4
"2020-03-05",4
"2020-03-04",4
"2020-03-03",5
"2020-03-02",7
"2020-03-01",15
"2020-02-29",22
"2020-02-28",16
"2020-02-27",10
"2020-02-26",1
"2020-02-25",-1
"2020-02-24",-2
"2020-02-23",-10
"2020-02-22",-5
"2020-02-21",-3
"2020-02-20",-4
"2020-02-19",-5
"2020-02-18",-14
"2020-02-17",-14
"2020-02-16",-14
