date,value
"2020-04-11",-41
"2020-04-10",-50
"2020-04-09",-39
"2020-04-08",-39
"2020-04-07",-40
"2020-04-06",-38
"2020-04-05",-36
"2020-04-04",-42
"2020-04-03",-40
"2020-04-02",-38
"2020-04-01",-36
"2020-03-31",-37
"2020-03-30",-40
"2020-03-29",-39
"2020-03-28",-42
"2020-03-27",-22
"2020-03-26",-13
"2020-03-25",-16
"2020-03-24",-16
"2020-03-23",-14
"2020-03-22",-8
"2020-03-21",-11
"2020-03-20",-10
"2020-03-19",-14
"2020-03-18",-13
"2020-03-17",-12
"2020-03-16",-7
"2020-03-15",-3
"2020-03-14",0
"2020-03-13",-3
"2020-03-12",-3
"2020-03-11",0
"2020-03-10",1
"2020-03-09",0
"2020-03-08",4
"2020-03-07",7
"2020-03-06",8
"2020-03-05",9
"2020-03-04",9
"2020-03-03",10
"2020-03-02",9
"2020-03-01",13
"2020-02-29",18
"2020-02-28",14
"2020-02-27",9
"2020-02-26",5
"2020-02-25",-2
"2020-02-24",-1
"2020-02-23",-2
"2020-02-22",1
"2020-02-21",-1
"2020-02-20",-6
"2020-02-19",0
"2020-02-18",-5
"2020-02-17",-6
"2020-02-16",-3
