date,value
"2020-04-11",-55
"2020-04-10",-70
"2020-04-09",-49
"2020-04-08",-52
"2020-04-07",-52
"2020-04-06",-51
"2020-04-05",-56
"2020-04-04",-54
"2020-04-03",-51
"2020-04-02",-50
"2020-04-01",-46
"2020-03-31",-46
"2020-03-30",-50
"2020-03-29",-56
"2020-03-28",-51
"2020-03-27",-10
"2020-03-26",0
"2020-03-25",0
"2020-03-24",-14
"2020-03-23",-17
"2020-03-22",-20
"2020-03-21",-23
"2020-03-20",-12
"2020-03-19",-17
"2020-03-18",-19
"2020-03-17",-19
"2020-03-16",-11
"2020-03-15",-8
"2020-03-14",-3
"2020-03-13",-3
"2020-03-12",-6
"2020-03-11",-7
"2020-03-10",-8
"2020-03-09",-8
"2020-03-08",-3
"2020-03-07",5
"2020-03-06",6
"2020-03-05",4
"2020-03-04",3
"2020-03-03",3
"2020-03-02",4
"2020-03-01",13
"2020-02-29",22
"2020-02-28",18
"2020-02-27",10
"2020-02-26",1
"2020-02-25",-1
"2020-02-24",-3
"2020-02-23",-9
"2020-02-22",-5
"2020-02-21",-1
"2020-02-20",-2
"2020-02-19",-5
"2020-02-18",-14
"2020-02-17",-15
"2020-02-16",-13
