date,value
"2020-04-11",-71
"2020-04-10",-79
"2020-04-09",-71
"2020-04-08",-75
"2020-04-07",-73
"2020-04-06",-71
"2020-04-05",-75
"2020-04-04",-69
"2020-04-03",-73
"2020-04-02",-67
"2020-04-01",-70
"2020-03-31",-66
"2020-03-30",-70
"2020-03-29",-74
"2020-03-28",-68
"2020-03-27",-50
"2020-03-26",-25
"2020-03-25",-25
"2020-03-24",-27
"2020-03-23",-31
"2020-03-22",-38
"2020-03-21",-32
"2020-03-20",-25
"2020-03-19",-15
"2020-03-18",-18
"2020-03-17",-16
"2020-03-16",-20
"2020-03-15",-16
"2020-03-14",-11
"2020-03-13",-5
"2020-03-12",-1
"2020-03-11",-3
"2020-03-10",-4
"2020-03-09",-3
"2020-03-08",-7
"2020-03-07",-6
"2020-03-06",1
"2020-03-05",6
"2020-03-04",2
"2020-03-03",-3
"2020-03-02",-4
"2020-03-01",-3
"2020-02-29",2
"2020-02-28",0
"2020-02-27",2
"2020-02-26",-5
"2020-02-25",-6
"2020-02-24",-6
"2020-02-23",-12
"2020-02-22",-11
"2020-02-21",-6
"2020-02-20",-4
"2020-02-19",-8
"2020-02-18",-15
"2020-02-17",-12
"2020-02-16",-16
