date,value
"2020-04-11",-27
"2020-04-10",-56
"2020-04-09",-53
"2020-04-08",-54
"2020-04-07",-53
"2020-04-06",-54
"2020-04-05",-14
"2020-04-04",-30
"2020-04-03",-51
"2020-04-02",-54
"2020-04-01",-56
"2020-03-31",-55
"2020-03-30",-44
"2020-03-29",-11
"2020-03-28",-19
"2020-03-27",-34
"2020-03-26",-34
"2020-03-25",-25
"2020-03-24",-21
"2020-03-23",-11
"2020-03-22",-4
"2020-03-21",1
"2020-03-20",2
"2020-03-19",0
"2020-03-18",0
"2020-03-17",0
"2020-03-16",0
"2020-03-15",1
"2020-03-14",1
"2020-03-13",3
"2020-03-12",2
"2020-03-11",1
"2020-03-10",2
"2020-03-09",3
"2020-03-08",4
"2020-03-07",5
"2020-03-06",5
"2020-03-05",4
"2020-03-04",3
"2020-03-03",2
"2020-03-02",2
"2020-03-01",3
"2020-02-29",3
"2020-02-28",2
"2020-02-27",4
"2020-02-26",3
"2020-02-25",2
"2020-02-24",2
"2020-02-23",2
"2020-02-22",1
"2020-02-21",2
"2020-02-20",1
"2020-02-19",0
"2020-02-18",1
"2020-02-17",2
"2020-02-16",3
