date,value
"2020-03-29",11
"2020-03-28",11
"2020-03-27",11
"2020-03-26",11
"2020-03-25",10
"2020-03-24",9
"2020-03-23",8
"2020-03-22",10
"2020-03-21",10
"2020-03-20",6
"2020-03-19",4
"2020-03-18",1
"2020-03-17",0
"2020-03-16",-1
"2020-03-15",0
"2020-03-14",0
"2020-03-13",-1
"2020-03-12",-1
"2020-03-11",-1
"2020-03-10",-1
"2020-03-09",-1
"2020-03-08",0
"2020-03-07",0
"2020-03-06",-1
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",-1
"2020-03-01",-1
"2020-02-29",0
"2020-02-28",-1
"2020-02-27",-1
"2020-02-26",0
"2020-02-25",-1
"2020-02-24",0
"2020-02-23",0
"2020-02-22",1
"2020-02-21",0
"2020-02-20",-1
"2020-02-19",0
"2020-02-18",-1
"2020-02-17",-1
"2020-02-16",-1
