date,value
"2020-04-11",-46
"2020-04-10",-68
"2020-04-09",-65
"2020-04-08",-45
"2020-04-07",-38
"2020-04-06",-35
"2020-04-05",-16
"2020-04-04",-17
"2020-04-03",-14
"2020-04-02",-16
"2020-04-01",-16
"2020-03-31",-15
"2020-03-30",-13
"2020-03-29",-17
"2020-03-28",-17
"2020-03-27",-15
"2020-03-26",-16
"2020-03-25",-14
"2020-03-24",-13
"2020-03-23",-9
"2020-03-22",-12
"2020-03-21",-10
"2020-03-20",-2
"2020-03-19",3
"2020-03-18",10
"2020-03-17",13
"2020-03-16",15
"2020-03-15",7
"2020-03-14",4
"2020-03-13",12
"2020-03-12",15
"2020-03-11",14
"2020-03-10",15
"2020-03-09",17
"2020-03-08",9
"2020-03-07",4
"2020-03-06",10
"2020-03-05",15
"2020-03-04",13
"2020-03-03",13
"2020-03-02",15
"2020-03-01",11
"2020-02-29",4
"2020-02-28",9
"2020-02-27",13
"2020-02-26",11
"2020-02-25",12
"2020-02-24",12
"2020-02-23",12
"2020-02-22",1
"2020-02-21",6
"2020-02-20",13
"2020-02-19",10
"2020-02-18",10
"2020-02-17",11
"2020-02-16",12
