date,value
"2020-03-29",-34
"2020-03-28",-33
"2020-03-27",-50
"2020-03-26",-52
"2020-03-25",-52
"2020-03-24",-52
"2020-03-23",-52
"2020-03-22",-37
"2020-03-21",-33
"2020-03-20",-48
"2020-03-19",-52
"2020-03-18",-52
"2020-03-17",-51
"2020-03-16",-49
"2020-03-15",-34
"2020-03-14",-24
"2020-03-13",-31
"2020-03-12",-20
"2020-03-11",-6
"2020-03-10",-2
"2020-03-09",-2
"2020-03-08",-2
"2020-03-07",-2
"2020-03-06",-2
"2020-03-05",-2
"2020-03-04",-2
"2020-03-03",-2
"2020-03-02",-1
"2020-03-01",-1
"2020-02-29",-1
"2020-02-28",-3
"2020-02-27",-5
"2020-02-26",-5
"2020-02-25",-4
"2020-02-24",-4
"2020-02-23",-4
"2020-02-22",-2
"2020-02-21",-5
"2020-02-20",-15
"2020-02-19",-14
"2020-02-18",-12
"2020-02-17",-11
"2020-02-16",-12
