date,value
"2020-03-29",22
"2020-03-28",26
"2020-03-27",38
"2020-03-26",35
"2020-03-25",22
"2020-03-24",16
"2020-03-23",8
"2020-03-22",8
"2020-03-21",8
"2020-03-20",6
"2020-03-19",4
"2020-03-18",2
"2020-03-17",1
"2020-03-16",-1
"2020-03-15",1
"2020-03-14",1
"2020-03-13",0
"2020-03-12",-1
"2020-03-11",-1
"2020-03-10",-1
"2020-03-09",-1
"2020-03-08",0
"2020-03-07",1
"2020-03-06",0
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",-2
"2020-03-01",-1
"2020-02-29",1
"2020-02-28",0
"2020-02-27",-2
"2020-02-26",-2
"2020-02-25",-2
"2020-02-24",-2
"2020-02-23",-2
"2020-02-22",1
"2020-02-21",1
"2020-02-20",-2
"2020-02-19",-2
"2020-02-18",-2
"2020-02-17",-1
"2020-02-16",-3
