date,value
"2020-04-11",-37
"2020-04-10",-37
"2020-04-09",-42
"2020-04-08",-43
"2020-04-07",-43
"2020-04-06",-43
"2020-04-05",-42
"2020-04-04",-34
"2020-04-03",-36
"2020-04-02",-43
"2020-04-01",-42
"2020-03-31",-36
"2020-03-30",-36
"2020-03-29",-34
"2020-03-28",-30
"2020-03-27",-32
"2020-03-26",-33
"2020-03-25",-33
"2020-03-24",-29
"2020-03-23",-21
"2020-03-22",-45
"2020-03-21",-21
"2020-03-20",-16
"2020-03-19",-11
"2020-03-18",-7
"2020-03-17",-4
"2020-03-16",-2
"2020-03-15",-1
"2020-03-14",1
"2020-03-13",0
"2020-03-12",6
"2020-03-11",10
"2020-03-10",9
"2020-03-09",10
"2020-03-08",10
"2020-03-07",7
"2020-03-06",2
"2020-03-05",5
"2020-03-04",10
"2020-03-03",10
"2020-03-02",10
"2020-03-01",10
"2020-02-29",8
"2020-02-28",2
"2020-02-27",2
"2020-02-26",9
"2020-02-25",9
"2020-02-24",9
"2020-02-23",9
"2020-02-22",8
"2020-02-21",0
"2020-02-20",0
"2020-02-19",8
"2020-02-18",8
"2020-02-17",8
"2020-02-16",8
