date,value
"2020-03-29",-61
"2020-03-28",-53
"2020-03-27",-53
"2020-03-26",-53
"2020-03-25",-54
"2020-03-24",-48
"2020-03-23",-39
"2020-03-22",-41
"2020-03-21",-37
"2020-03-20",-29
"2020-03-19",-29
"2020-03-18",-29
"2020-03-17",-21
"2020-03-16",-13
"2020-03-15",-7
"2020-03-14",0
"2020-03-13",4
"2020-03-12",6
"2020-03-11",8
"2020-03-10",12
"2020-03-09",8
"2020-03-08",6
"2020-03-07",6
"2020-03-06",1
"2020-03-05",0
"2020-03-04",4
"2020-03-03",6
"2020-03-02",9
"2020-03-01",13
"2020-02-29",19
"2020-02-28",12
"2020-02-27",5
"2020-02-26",2
"2020-02-25",-11
"2020-02-24",-16
"2020-02-23",-7
"2020-02-22",2
"2020-02-21",8
"2020-02-20",10
"2020-02-19",7
"2020-02-18",2
"2020-02-17",2
"2020-02-16",5
