date,value
"2020-04-05",-95
"2020-04-04",-83
"2020-04-03",-85
"2020-04-02",-81
"2020-04-01",-85
"2020-03-31",-80
"2020-03-30",-80
"2020-03-29",-84
"2020-03-28",-82
"2020-03-27",-81
"2020-03-26",-81
"2020-03-25",-82
"2020-03-24",-71
"2020-03-23",-64
"2020-03-22",-68
"2020-03-21",-65
"2020-03-20",-53
"2020-03-19",-50
"2020-03-18",-47
"2020-03-17",-41
"2020-03-16",-32
"2020-03-15",-35
"2020-03-14",-27
"2020-03-13",-19
"2020-03-12",-17
"2020-03-11",-16
"2020-03-10",-10
"2020-03-09",-5
"2020-03-08",-1
"2020-03-07",2
"2020-03-06",0
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",2
"2020-03-01",8
"2020-02-29",15
"2020-02-28",11
"2020-02-27",4
"2020-02-26",-2
"2020-02-25",-19
"2020-02-24",-32
"2020-02-23",-18
"2020-02-22",-8
"2020-02-21",-6
"2020-02-20",4
"2020-02-19",6
"2020-02-18",1
"2020-02-17",2
"2020-02-16",4
