date,value
"2020-04-11",-91
"2020-04-10",-85
"2020-04-09",-75
"2020-04-08",-78
"2020-04-07",-76
"2020-04-06",-78
"2020-04-05",-89
"2020-04-04",-77
"2020-04-03",-79
"2020-04-02",-77
"2020-04-01",-79
"2020-03-31",-76
"2020-03-30",-76
"2020-03-29",-77
"2020-03-28",-76
"2020-03-27",-76
"2020-03-26",-76
"2020-03-25",-77
"2020-03-24",-68
"2020-03-23",-62
"2020-03-22",-60
"2020-03-21",-54
"2020-03-20",-47
"2020-03-19",-46
"2020-03-18",-40
"2020-03-17",-35
"2020-03-16",-27
"2020-03-15",-26
"2020-03-14",-21
"2020-03-13",-16
"2020-03-12",-16
"2020-03-11",-14
"2020-03-10",-6
"2020-03-09",0
"2020-03-08",2
"2020-03-07",2
"2020-03-06",3
"2020-03-05",4
"2020-03-04",4
"2020-03-03",5
"2020-03-02",5
"2020-03-01",7
"2020-02-29",10
"2020-02-28",6
"2020-02-27",1
"2020-02-26",-8
"2020-02-25",-26
"2020-02-24",-38
"2020-02-23",-31
"2020-02-22",-11
"2020-02-21",-7
"2020-02-20",6
"2020-02-19",4
"2020-02-18",4
"2020-02-17",3
"2020-02-16",5
