date,value
"2020-04-05",-75
"2020-04-04",-71
"2020-04-03",-75
"2020-04-02",-75
"2020-04-01",-75
"2020-03-31",-74
"2020-03-30",-73
"2020-03-29",-55
"2020-03-28",-68
"2020-03-27",-74
"2020-03-26",-76
"2020-03-25",-76
"2020-03-24",-76
"2020-03-23",-76
"2020-03-22",-60
"2020-03-21",-68
"2020-03-20",-75
"2020-03-19",-76
"2020-03-18",-74
"2020-03-17",-70
"2020-03-16",-52
"2020-03-15",-15
"2020-03-14",-2
"2020-03-13",-3
"2020-03-12",-1
"2020-03-11",0
"2020-03-10",1
"2020-03-09",2
"2020-03-08",3
"2020-03-07",2
"2020-03-06",3
"2020-03-05",3
"2020-03-04",3
"2020-03-03",2
"2020-03-02",2
"2020-03-01",1
"2020-02-29",1
"2020-02-28",1
"2020-02-27",0
"2020-02-26",0
"2020-02-25",0
"2020-02-24",0
"2020-02-23",0
"2020-02-22",0
"2020-02-21",0
"2020-02-20",1
"2020-02-19",1
"2020-02-18",1
"2020-02-17",1
"2020-02-16",1
