date,value
"2020-04-11",-12
"2020-04-10",-50
"2020-04-09",-5
"2020-04-08",-2
"2020-04-07",-2
"2020-04-06",-4
"2020-04-05",12
"2020-04-04",6
"2020-04-03",-11
"2020-04-02",-16
"2020-04-01",-15
"2020-03-31",-18
"2020-03-30",-17
"2020-03-29",11
"2020-03-28",1
"2020-03-27",-14
"2020-03-26",-17
"2020-03-25",-17
"2020-03-24",-19
"2020-03-23",6
"2020-03-22",14
"2020-03-21",13
"2020-03-20",13
"2020-03-19",12
"2020-03-18",14
"2020-03-17",16
"2020-03-16",16
"2020-03-15",18
"2020-03-14",19
"2020-03-13",19
"2020-03-12",18
"2020-03-11",18
"2020-03-10",16
"2020-03-09",13
"2020-03-08",14
"2020-03-07",15
"2020-03-06",16
"2020-03-05",16
"2020-03-04",15
"2020-03-03",14
"2020-03-02",14
"2020-03-01",15
"2020-02-29",16
"2020-02-28",17
"2020-02-27",16
"2020-02-26",13
"2020-02-25",12
"2020-02-24",9
"2020-02-23",8
"2020-02-22",10
"2020-02-21",8
"2020-02-20",11
"2020-02-19",10
"2020-02-18",8
"2020-02-17",7
"2020-02-16",8
