date,value
"2020-03-29",-59
"2020-03-28",-53
"2020-03-27",-51
"2020-03-26",-52
"2020-03-25",-51
"2020-03-24",-51
"2020-03-23",-50
"2020-03-22",-52
"2020-03-21",-49
"2020-03-20",-46
"2020-03-19",-42
"2020-03-18",-37
"2020-03-17",-25
"2020-03-16",-9
"2020-03-15",-8
"2020-03-14",0
"2020-03-13",8
"2020-03-12",8
"2020-03-11",6
"2020-03-10",4
"2020-03-09",2
"2020-03-08",2
"2020-03-07",2
"2020-03-06",1
"2020-03-05",0
"2020-03-04",2
"2020-03-03",2
"2020-03-02",2
"2020-03-01",4
"2020-02-29",7
"2020-02-28",4
"2020-02-27",0
"2020-02-26",-1
"2020-02-25",-1
"2020-02-24",-1
"2020-02-23",0
"2020-02-22",0
"2020-02-21",0
"2020-02-20",-2
"2020-02-19",-2
"2020-02-18",-3
"2020-02-17",1
"2020-02-16",1
