date,value
"2020-04-05",-84
"2020-04-04",-84
"2020-04-03",-85
"2020-04-02",-84
"2020-04-01",-84
"2020-03-31",-83
"2020-03-30",-84
"2020-03-29",-82
"2020-03-28",-82
"2020-03-27",-83
"2020-03-26",-81
"2020-03-25",-81
"2020-03-24",-81
"2020-03-23",-81
"2020-03-22",-79
"2020-03-21",-78
"2020-03-20",-79
"2020-03-19",-76
"2020-03-18",-73
"2020-03-17",-66
"2020-03-16",-48
"2020-03-15",-42
"2020-03-14",-25
"2020-03-13",-16
"2020-03-12",-17
"2020-03-11",-17
"2020-03-10",-14
"2020-03-09",-9
"2020-03-08",-8
"2020-03-07",-6
"2020-03-06",-6
"2020-03-05",-7
"2020-03-04",-6
"2020-03-03",-6
"2020-03-02",-4
"2020-03-01",-5
"2020-02-29",-4
"2020-02-28",-2
"2020-02-27",-6
"2020-02-26",-5
"2020-02-25",-7
"2020-02-24",-15
"2020-02-23",-4
"2020-02-22",-6
"2020-02-21",-1
"2020-02-20",-6
"2020-02-19",-5
"2020-02-18",-6
"2020-02-17",0
"2020-02-16",-2
