date,value
"2020-04-05",-41
"2020-04-04",-39
"2020-04-03",-39
"2020-04-02",-37
"2020-04-01",-37
"2020-03-31",-39
"2020-03-30",-37
"2020-03-29",-45
"2020-03-28",-44
"2020-03-27",-46
"2020-03-26",-41
"2020-03-25",-38
"2020-03-24",-36
"2020-03-23",-30
"2020-03-22",-27
"2020-03-21",-16
"2020-03-20",-8
"2020-03-19",-3
"2020-03-18",2
"2020-03-17",6
"2020-03-16",10
"2020-03-15",6
"2020-03-14",6
"2020-03-13",8
"2020-03-12",5
"2020-03-11",2
"2020-03-10",10
"2020-03-09",16
"2020-03-08",12
"2020-03-07",5
"2020-03-06",0
"2020-03-05",-1
"2020-03-04",5
"2020-03-03",10
"2020-03-02",11
"2020-03-01",9
"2020-02-29",3
"2020-02-28",-1
"2020-02-27",3
"2020-02-26",7
"2020-02-25",8
"2020-02-24",10
"2020-02-23",10
"2020-02-22",8
"2020-02-21",7
"2020-02-20",6
"2020-02-19",1
"2020-02-18",6
"2020-02-17",9
"2020-02-16",11
