date,value
"2020-03-29",-59
"2020-03-28",-34
"2020-03-27",-28
"2020-03-26",-30
"2020-03-25",-30
"2020-03-24",-22
"2020-03-23",-26
"2020-03-22",-50
"2020-03-21",-36
"2020-03-20",-25
"2020-03-19",-24
"2020-03-18",-24
"2020-03-17",-26
"2020-03-16",-24
"2020-03-15",-37
"2020-03-14",-26
"2020-03-13",-3
"2020-03-12",15
"2020-03-11",26
"2020-03-10",19
"2020-03-09",6
"2020-03-08",3
"2020-03-07",5
"2020-03-06",5
"2020-03-05",4
"2020-03-04",5
"2020-03-03",3
"2020-03-02",1
"2020-03-01",-1
"2020-02-29",-4
"2020-02-28",3
"2020-02-27",4
"2020-02-26",2
"2020-02-25",-1
"2020-02-24",2
"2020-02-23",-4
"2020-02-22",-21
"2020-02-21",-1
"2020-02-20",-2
"2020-02-19",1
"2020-02-18",0
"2020-02-17",-1
"2020-02-16",0
