date,value
"2020-04-05",-71
"2020-04-04",-71
"2020-04-03",-60
"2020-04-02",-58
"2020-04-01",-58
"2020-03-31",-55
"2020-03-30",-56
"2020-03-29",-78
"2020-03-28",-63
"2020-03-27",-58
"2020-03-26",-58
"2020-03-25",-58
"2020-03-24",-53
"2020-03-23",-53
"2020-03-22",-72
"2020-03-21",-66
"2020-03-20",-57
"2020-03-19",-53
"2020-03-18",-51
"2020-03-17",-53
"2020-03-16",-51
"2020-03-15",-63
"2020-03-14",-58
"2020-03-13",-37
"2020-03-12",-19
"2020-03-11",-4
"2020-03-10",4
"2020-03-09",4
"2020-03-08",15
"2020-03-07",16
"2020-03-06",5
"2020-03-05",4
"2020-03-04",5
"2020-03-03",3
"2020-03-02",1
"2020-03-01",4
"2020-02-29",6
"2020-02-28",4
"2020-02-27",3
"2020-02-26",2
"2020-02-25",-1
"2020-02-24",1
"2020-02-23",-1
"2020-02-22",-5
"2020-02-21",2
"2020-02-20",2
"2020-02-19",7
"2020-02-18",5
"2020-02-17",3
"2020-02-16",6
