date,value
"2020-03-29",-75
"2020-03-28",-70
"2020-03-27",-63
"2020-03-26",-62
"2020-03-25",-61
"2020-03-24",-63
"2020-03-23",-63
"2020-03-22",-73
"2020-03-21",-70
"2020-03-20",-61
"2020-03-19",-60
"2020-03-18",-60
"2020-03-17",-56
"2020-03-16",-45
"2020-03-15",-30
"2020-03-14",-19
"2020-03-13",-11
"2020-03-12",-6
"2020-03-11",-6
"2020-03-10",-7
"2020-03-09",-14
"2020-03-08",-9
"2020-03-07",4
"2020-03-06",5
"2020-03-05",1
"2020-03-04",2
"2020-03-03",2
"2020-03-02",-3
"2020-03-01",-2
"2020-02-29",12
"2020-02-28",10
"2020-02-27",4
"2020-02-26",3
"2020-02-25",-5
"2020-02-24",-18
"2020-02-23",-10
"2020-02-22",1
"2020-02-21",8
"2020-02-20",2
"2020-02-19",1
"2020-02-18",4
"2020-02-17",3
"2020-02-16",15
