date,value
"2020-04-05",26
"2020-04-04",24
"2020-04-03",31
"2020-04-02",31
"2020-04-01",30
"2020-03-31",29
"2020-03-30",25
"2020-03-29",21
"2020-03-28",23
"2020-03-27",29
"2020-03-26",29
"2020-03-25",28
"2020-03-24",28
"2020-03-23",26
"2020-03-22",21
"2020-03-21",21
"2020-03-20",26
"2020-03-19",27
"2020-03-18",26
"2020-03-17",24
"2020-03-16",19
"2020-03-15",10
"2020-03-14",4
"2020-03-13",1
"2020-03-12",-1
"2020-03-11",0
"2020-03-10",0
"2020-03-09",0
"2020-03-08",1
"2020-03-07",0
"2020-03-06",-1
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",-2
"2020-03-02",0
"2020-03-01",2
"2020-02-29",-1
"2020-02-28",-2
"2020-02-27",-3
"2020-02-26",-1
"2020-02-25",0
"2020-02-24",1
"2020-02-23",0
"2020-02-22",0
"2020-02-21",-1
"2020-02-20",-2
"2020-02-19",-1
"2020-02-18",-1
"2020-02-17",-1
"2020-02-16",7
