date,value
"2020-04-11",-86
"2020-04-10",-89
"2020-04-09",-76
"2020-04-08",-77
"2020-04-07",-77
"2020-04-06",-77
"2020-04-05",-88
"2020-04-04",-81
"2020-04-03",-78
"2020-04-02",-78
"2020-04-01",-77
"2020-03-31",-76
"2020-03-30",-75
"2020-03-29",-79
"2020-03-28",-78
"2020-03-27",-75
"2020-03-26",-75
"2020-03-25",-73
"2020-03-24",-72
"2020-03-23",-71
"2020-03-22",-70
"2020-03-21",-69
"2020-03-20",-64
"2020-03-19",-62
"2020-03-18",-54
"2020-03-17",-46
"2020-03-16",-39
"2020-03-15",-30
"2020-03-14",-23
"2020-03-13",-14
"2020-03-12",-9
"2020-03-11",-4
"2020-03-10",0
"2020-03-09",0
"2020-03-08",-2
"2020-03-07",-4
"2020-03-06",-4
"2020-03-05",-2
"2020-03-04",2
"2020-03-03",4
"2020-03-02",2
"2020-03-01",1
"2020-02-29",2
"2020-02-28",-2
"2020-02-27",1
"2020-02-26",2
"2020-02-25",-1
"2020-02-24",-5
"2020-02-23",-2
"2020-02-22",-2
"2020-02-21",-6
"2020-02-20",-2
"2020-02-19",-1
"2020-02-18",7
"2020-02-17",4
"2020-02-16",-8
