date,value
"2020-04-11",-65
"2020-04-10",-84
"2020-04-09",-67
"2020-04-08",-62
"2020-04-07",-62
"2020-04-06",-59
"2020-04-05",-66
"2020-04-04",-52
"2020-04-03",-61
"2020-04-02",-63
"2020-04-01",-62
"2020-03-31",-62
"2020-03-30",-57
"2020-03-29",-48
"2020-03-28",-49
"2020-03-27",-58
"2020-03-26",-60
"2020-03-25",-60
"2020-03-24",-59
"2020-03-23",-59
"2020-03-22",-47
"2020-03-21",-45
"2020-03-20",-53
"2020-03-19",-56
"2020-03-18",-55
"2020-03-17",-52
"2020-03-16",-41
"2020-03-15",-20
"2020-03-14",-7
"2020-03-13",2
"2020-03-12",6
"2020-03-11",7
"2020-03-10",7
"2020-03-09",10
"2020-03-08",3
"2020-03-07",-3
"2020-03-06",3
"2020-03-05",9
"2020-03-04",8
"2020-03-03",9
"2020-03-02",3
"2020-03-01",-6
"2020-02-29",-3
"2020-02-28",2
"2020-02-27",10
"2020-02-26",9
"2020-02-25",8
"2020-02-24",8
"2020-02-23",11
"2020-02-22",-4
"2020-02-21",0
"2020-02-20",10
"2020-02-19",8
"2020-02-18",8
"2020-02-17",6
"2020-02-16",-26
