date,value
"2020-04-05",23
"2020-04-04",25
"2020-04-03",35
"2020-04-02",33
"2020-04-01",33
"2020-03-31",33
"2020-03-30",33
"2020-03-29",22
"2020-03-28",25
"2020-03-27",36
"2020-03-26",34
"2020-03-25",32
"2020-03-24",33
"2020-03-23",32
"2020-03-22",23
"2020-03-21",25
"2020-03-20",34
"2020-03-19",31
"2020-03-18",26
"2020-03-17",24
"2020-03-16",23
"2020-03-15",17
"2020-03-14",14
"2020-03-13",10
"2020-03-12",6
"2020-03-11",2
"2020-03-10",1
"2020-03-09",0
"2020-03-08",0
"2020-03-07",-1
"2020-03-06",-1
"2020-03-05",-1
"2020-03-04",0
"2020-03-03",0
"2020-03-02",0
"2020-03-01",1
"2020-02-29",2
"2020-02-28",0
"2020-02-27",-1
"2020-02-26",0
"2020-02-25",5
"2020-02-24",13
"2020-02-23",2
"2020-02-22",-4
"2020-02-21",-3
"2020-02-20",-2
"2020-02-19",-1
"2020-02-18",-1
"2020-02-17",0
"2020-02-16",0
