date,value
"2020-04-05",-55
"2020-04-04",-55
"2020-04-03",-63
"2020-04-02",-64
"2020-04-01",-64
"2020-03-31",-64
"2020-03-30",-63
"2020-03-29",-53
"2020-03-28",-55
"2020-03-27",-63
"2020-03-26",-64
"2020-03-25",-63
"2020-03-24",-63
"2020-03-23",-62
"2020-03-22",-53
"2020-03-21",-55
"2020-03-20",-59
"2020-03-19",-58
"2020-03-18",-52
"2020-03-17",-48
"2020-03-16",-43
"2020-03-15",-29
"2020-03-14",-18
"2020-03-13",-13
"2020-03-12",-7
"2020-03-11",-2
"2020-03-10",0
"2020-03-09",2
"2020-03-08",2
"2020-03-07",2
"2020-03-06",2
"2020-03-05",2
"2020-03-04",2
"2020-03-03",3
"2020-03-02",3
"2020-03-01",2
"2020-02-29",0
"2020-02-28",1
"2020-02-27",1
"2020-02-26",-3
"2020-02-25",-25
"2020-02-24",-57
"2020-02-23",-22
"2020-02-22",1
"2020-02-21",0
"2020-02-20",1
"2020-02-19",2
"2020-02-18",3
"2020-02-17",3
"2020-02-16",3
