date,value
"2020-04-05",26
"2020-04-04",30
"2020-04-03",31
"2020-04-02",28
"2020-04-01",27
"2020-03-31",22
"2020-03-30",24
"2020-03-29",23
"2020-03-28",29
"2020-03-27",33
"2020-03-26",31
"2020-03-25",33
"2020-03-24",31
"2020-03-23",30
"2020-03-22",26
"2020-03-21",27
"2020-03-20",21
"2020-03-19",19
"2020-03-18",19
"2020-03-17",16
"2020-03-16",14
"2020-03-15",13
"2020-03-14",11
"2020-03-13",9
"2020-03-12",6
"2020-03-11",5
"2020-03-10",0
"2020-03-09",-3
"2020-03-08",0
"2020-03-07",2
"2020-03-06",-1
"2020-03-05",-3
"2020-03-04",-2
"2020-03-03",-2
"2020-03-02",-3
"2020-03-01",-1
"2020-02-29",1
"2020-02-28",-1
"2020-02-27",-2
"2020-02-26",-1
"2020-02-25",0
"2020-02-24",0
"2020-02-23",0
"2020-02-22",4
"2020-02-21",2
"2020-02-20",-1
"2020-02-19",-1
"2020-02-18",0
"2020-02-17",-1
"2020-02-16",-1
