date,value
"2020-03-29",-30
"2020-03-28",-54
"2020-03-27",-59
"2020-03-26",-61
"2020-03-25",-61
"2020-03-24",-61
"2020-03-23",-57
"2020-03-22",-42
"2020-03-21",-47
"2020-03-20",-31
"2020-03-19",-26
"2020-03-18",-25
"2020-03-17",-21
"2020-03-16",-14
"2020-03-15",-10
"2020-03-14",-6
"2020-03-13",-2
"2020-03-12",2
"2020-03-11",5
"2020-03-10",13
"2020-03-09",19
"2020-03-08",12
"2020-03-07",6
"2020-03-06",13
"2020-03-05",20
"2020-03-04",20
"2020-03-03",19
"2020-03-02",19
"2020-03-01",14
"2020-02-29",5
"2020-02-28",10
"2020-02-27",17
"2020-02-26",18
"2020-02-25",15
"2020-02-24",15
"2020-02-23",14
"2020-02-22",4
"2020-02-21",6
"2020-02-20",14
"2020-02-19",13
"2020-02-18",12
"2020-02-17",11
"2020-02-16",11
