date,value
"2020-04-05",24
"2020-04-04",20
"2020-04-03",20
"2020-04-02",26
"2020-04-01",22
"2020-03-31",21
"2020-03-30",21
"2020-03-29",22
"2020-03-28",19
"2020-03-27",19
"2020-03-26",23
"2020-03-25",21
"2020-03-24",20
"2020-03-23",20
"2020-03-22",20
"2020-03-21",16
"2020-03-20",16
"2020-03-19",19
"2020-03-18",17
"2020-03-17",14
"2020-03-16",11
"2020-03-15",9
"2020-03-14",8
"2020-03-13",9
"2020-03-12",9
"2020-03-11",6
"2020-03-10",4
"2020-03-09",3
"2020-03-08",2
"2020-03-07",2
"2020-03-06",2
"2020-03-05",2
"2020-03-04",2
"2020-03-03",1
"2020-03-02",1
"2020-03-01",1
"2020-02-29",1
"2020-02-28",1
"2020-02-27",1
"2020-02-26",1
"2020-02-25",1
"2020-02-24",1
"2020-02-23",1
"2020-02-22",1
"2020-02-21",1
"2020-02-20",1
"2020-02-19",2
"2020-02-18",1
"2020-02-17",1
"2020-02-16",1
