date,value
"2020-04-11",-63
"2020-04-10",-72
"2020-04-09",-55
"2020-04-08",-54
"2020-04-07",-53
"2020-04-06",-52
"2020-04-05",-50
"2020-04-04",-56
"2020-04-03",-67
"2020-04-02",-56
"2020-04-01",-52
"2020-03-31",-52
"2020-03-30",-52
"2020-03-29",-51
"2020-03-28",-57
"2020-03-27",-67
"2020-03-26",-51
"2020-03-25",-50
"2020-03-24",-49
"2020-03-23",-49
"2020-03-22",-48
"2020-03-21",-46
"2020-03-20",-55
"2020-03-19",-47
"2020-03-18",-42
"2020-03-17",-34
"2020-03-16",-27
"2020-03-15",-20
"2020-03-14",-22
"2020-03-13",-31
"2020-03-12",-25
"2020-03-11",-14
"2020-03-10",-8
"2020-03-09",-4
"2020-03-08",0
"2020-03-07",1
"2020-03-06",0
"2020-03-05",1
"2020-03-04",1
"2020-03-03",0
"2020-03-02",2
"2020-03-01",3
"2020-02-29",3
"2020-02-28",3
"2020-02-27",3
"2020-02-26",2
"2020-02-25",-3
"2020-02-24",-2
"2020-02-23",-1
"2020-02-22",-1
"2020-02-21",-1
"2020-02-20",-1
"2020-02-19",-1
"2020-02-18",-3
"2020-02-17",-2
"2020-02-16",-1
