date,value
"2020-04-05",-72
"2020-04-04",-66
"2020-04-03",-63
"2020-04-02",-65
"2020-04-01",-66
"2020-03-31",-68
"2020-03-30",-65
"2020-03-29",-72
"2020-03-28",-67
"2020-03-27",-65
"2020-03-26",-68
"2020-03-25",-67
"2020-03-24",-61
"2020-03-23",-61
"2020-03-22",-56
"2020-03-21",-45
"2020-03-20",-42
"2020-03-19",-44
"2020-03-18",-41
"2020-03-17",-40
"2020-03-16",-37
"2020-03-15",-34
"2020-03-14",-26
"2020-03-13",-19
"2020-03-12",-16
"2020-03-11",-12
"2020-03-10",-5
"2020-03-09",-1
"2020-03-08",3
"2020-03-07",8
"2020-03-06",10
"2020-03-05",6
"2020-03-04",3
"2020-03-03",4
"2020-03-02",3
"2020-03-01",7
"2020-02-29",11
"2020-02-28",5
"2020-02-27",5
"2020-02-26",1
"2020-02-25",6
"2020-02-24",5
"2020-02-23",3
"2020-02-22",6
"2020-02-21",6
"2020-02-20",8
"2020-02-19",2
"2020-02-18",5
"2020-02-17",6
"2020-02-16",7
