date,value
"2020-03-29",22
"2020-03-28",22
"2020-03-27",34
"2020-03-26",29
"2020-03-25",28
"2020-03-24",29
"2020-03-23",26
"2020-03-22",17
"2020-03-21",10
"2020-03-20",10
"2020-03-19",10
"2020-03-18",9
"2020-03-17",9
"2020-03-16",8
"2020-03-15",6
"2020-03-14",1
"2020-03-13",0
"2020-03-12",0
"2020-03-11",-1
"2020-03-10",-1
"2020-03-09",0
"2020-03-08",0
"2020-03-07",-2
"2020-03-06",-2
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",0
"2020-03-02",1
"2020-03-01",0
"2020-02-29",0
"2020-02-28",1
"2020-02-27",1
"2020-02-26",-1
"2020-02-25",-1
"2020-02-24",0
"2020-02-23",0
"2020-02-22",-1
"2020-02-21",-2
"2020-02-20",0
"2020-02-19",1
"2020-02-18",1
"2020-02-17",0
"2020-02-16",0
