date,value
"2020-04-11",-37
"2020-04-10",-65
"2020-04-09",-61
"2020-04-08",-59
"2020-04-07",-71
"2020-04-06",-60
"2020-04-05",-26
"2020-04-04",-37
"2020-04-03",-58
"2020-04-02",-60
"2020-04-01",-60
"2020-03-31",-61
"2020-03-30",-61
"2020-03-29",-31
"2020-03-28",-42
"2020-03-27",-61
"2020-03-26",-63
"2020-03-25",-64
"2020-03-24",-63
"2020-03-23",-58
"2020-03-22",-30
"2020-03-21",-11
"2020-03-20",-21
"2020-03-19",-24
"2020-03-18",-24
"2020-03-17",-21
"2020-03-16",-16
"2020-03-15",-3
"2020-03-14",8
"2020-03-13",7
"2020-03-12",4
"2020-03-11",4
"2020-03-10",4
"2020-03-09",5
"2020-03-08",3
"2020-03-07",3
"2020-03-06",3
"2020-03-05",1
"2020-03-04",2
"2020-03-03",3
"2020-03-02",3
"2020-03-01",1
"2020-02-29",-4
"2020-02-28",-7
"2020-02-27",0
"2020-02-26",2
"2020-02-25",2
"2020-02-24",3
"2020-02-23",3
"2020-02-22",0
"2020-02-21",3
"2020-02-20",3
"2020-02-19",3
"2020-02-18",2
"2020-02-17",4
"2020-02-16",7
