date,value
"2020-03-29",-6
"2020-03-28",3
"2020-03-27",0
"2020-03-26",4
"2020-03-25",0
"2020-03-24",3
"2020-03-23",-2
"2020-03-22",-7
"2020-03-21",-4
"2020-03-20",-5
"2020-03-19",-2
"2020-03-18",-2
"2020-03-17",11
"2020-03-16",3
"2020-03-15",-8
"2020-03-14",-9
"2020-03-13",-9
"2020-03-12",-9
"2020-03-11",-11
"2020-03-10",-9
"2020-03-09",-7
"2020-03-08",-8
"2020-03-07",-9
"2020-03-06",-9
"2020-03-05",-10
"2020-03-04",-12
"2020-03-03",-9
"2020-03-02",-5
"2020-03-01",-6
"2020-02-29",-9
"2020-02-28",-8
"2020-02-27",-9
"2020-02-26",-10
"2020-02-25",-11
"2020-02-24",-7
"2020-02-23",-9
"2020-02-22",-11
"2020-02-21",-9
"2020-02-20",-13
"2020-02-19",-13
"2020-02-18",-13
"2020-02-17",-8
"2020-02-16",-7
