date,value
"2020-04-05",-23
"2020-04-04",-24
"2020-04-03",-21
"2020-04-02",-25
"2020-04-01",-23
"2020-03-31",-20
"2020-03-30",-21
"2020-03-29",-28
"2020-03-28",-23
"2020-03-27",-20
"2020-03-26",-18
"2020-03-25",-16
"2020-03-24",-13
"2020-03-23",-15
"2020-03-22",-18
"2020-03-21",-14
"2020-03-20",-11
"2020-03-19",-13
"2020-03-18",-12
"2020-03-17",-9
"2020-03-16",-9
"2020-03-15",-13
"2020-03-14",-12
"2020-03-13",-10
"2020-03-12",-12
"2020-03-11",-13
"2020-03-10",-12
"2020-03-09",-11
"2020-03-08",-11
"2020-03-07",-10
"2020-03-06",-9
"2020-03-05",-9
"2020-03-04",-11
"2020-03-03",-10
"2020-03-02",-8
"2020-03-01",-9
"2020-02-29",-10
"2020-02-28",-8
"2020-02-27",-9
"2020-02-26",-12
"2020-02-25",-12
"2020-02-24",-11
"2020-02-23",-12
"2020-02-22",-13
"2020-02-21",-11
"2020-02-20",-11
"2020-02-19",-14
"2020-02-18",-14
"2020-02-17",-13
"2020-02-16",-12
