date,value
"2020-04-05",-34
"2020-04-04",-44
"2020-04-03",-36
"2020-04-02",-31
"2020-04-01",-34
"2020-03-31",-42
"2020-03-30",-62
"2020-03-29",-43
"2020-03-28",-26
"2020-03-27",-41
"2020-03-26",-63
"2020-03-25",-63
"2020-03-24",-55
"2020-03-23",-48
"2020-03-22",-57
"2020-03-21",-44
"2020-03-20",-24
"2020-03-19",-7
"2020-03-18",-5
"2020-03-17",-1
"2020-03-16",-4
"2020-03-15",-8
"2020-03-14",-24
"2020-03-13",-35
"2020-03-12",-8
"2020-03-11",21
"2020-03-10",17
"2020-03-09",8
"2020-03-08",28
"2020-03-07",31
"2020-03-06",-3
"2020-03-05",-12
"2020-03-04",-2
"2020-03-03",-10
"2020-03-02",-13
"2020-03-01",-26
"2020-02-29",-36
"2020-02-28",4
"2020-02-27",7
"2020-02-26",-6
"2020-02-25",-22
"2020-02-24",14
"2020-02-23",18
"2020-02-22",23
"2020-02-21",42
"2020-02-20",24
"2020-02-19",19
"2020-02-18",12
"2020-02-17",10
"2020-02-16",16
