date,value
"2020-04-05",8
"2020-04-04",10
"2020-04-03",21
"2020-04-02",20
"2020-04-01",20
"2020-03-31",19
"2020-03-30",20
"2020-03-29",10
"2020-03-28",10
"2020-03-27",22
"2020-03-26",22
"2020-03-25",23
"2020-03-24",21
"2020-03-23",22
"2020-03-22",14
"2020-03-21",15
"2020-03-20",22
"2020-03-19",21
"2020-03-18",21
"2020-03-17",20
"2020-03-16",19
"2020-03-15",12
"2020-03-14",10
"2020-03-13",12
"2020-03-12",9
"2020-03-11",6
"2020-03-10",4
"2020-03-09",2
"2020-03-08",0
"2020-03-07",1
"2020-03-06",2
"2020-03-05",2
"2020-03-04",1
"2020-03-03",1
"2020-03-02",1
"2020-03-01",1
"2020-02-29",0
"2020-02-28",0
"2020-02-27",3
"2020-02-26",1
"2020-02-25",1
"2020-02-24",0
"2020-02-23",0
"2020-02-22",-1
"2020-02-21",-1
"2020-02-20",2
"2020-02-19",0
"2020-02-18",1
"2020-02-17",0
"2020-02-16",0
