date,value
"2020-04-05",-77
"2020-04-04",-68
"2020-04-03",-62
"2020-04-02",-60
"2020-04-01",-62
"2020-03-31",-62
"2020-03-30",-61
"2020-03-29",-82
"2020-03-28",-73
"2020-03-27",-68
"2020-03-26",-69
"2020-03-25",-70
"2020-03-24",-69
"2020-03-23",-69
"2020-03-22",-79
"2020-03-21",-81
"2020-03-20",-73
"2020-03-19",-69
"2020-03-18",-70
"2020-03-17",-71
"2020-03-16",-67
"2020-03-15",-71
"2020-03-14",-71
"2020-03-13",-49
"2020-03-12",-22
"2020-03-11",-13
"2020-03-10",-10
"2020-03-09",-4
"2020-03-08",2
"2020-03-07",2
"2020-03-06",-3
"2020-03-05",-1
"2020-03-04",1
"2020-03-03",-1
"2020-03-02",0
"2020-03-01",0
"2020-02-29",1
"2020-02-28",6
"2020-02-27",-1
"2020-02-26",2
"2020-02-25",1
"2020-02-24",5
"2020-02-23",4
"2020-02-22",1
"2020-02-21",5
"2020-02-20",-1
"2020-02-19",5
"2020-02-18",4
"2020-02-17",6
"2020-02-16",8
