date,value
"2020-04-05",-31
"2020-04-04",-33
"2020-04-03",-28
"2020-04-02",-27
"2020-04-01",-28
"2020-03-31",-27
"2020-03-30",-26
"2020-03-29",-31
"2020-03-28",-30
"2020-03-27",-28
"2020-03-26",-28
"2020-03-25",-28
"2020-03-24",-29
"2020-03-23",-17
"2020-03-22",-17
"2020-03-21",-15
"2020-03-20",-10
"2020-03-19",-7
"2020-03-18",-5
"2020-03-17",-4
"2020-03-16",-1
"2020-03-15",-1
"2020-03-14",-2
"2020-03-13",-1
"2020-03-12",-2
"2020-03-11",-3
"2020-03-10",-2
"2020-03-09",-1
"2020-03-08",0
"2020-03-07",0
"2020-03-06",0
"2020-03-05",0
"2020-03-04",0
"2020-03-03",1
"2020-03-02",2
"2020-03-01",2
"2020-02-29",0
"2020-02-28",0
"2020-02-27",-2
"2020-02-26",-5
"2020-02-25",-8
"2020-02-24",-8
"2020-02-23",-1
"2020-02-22",-4
"2020-02-21",-3
"2020-02-20",-2
"2020-02-19",-3
"2020-02-18",-3
"2020-02-17",-2
"2020-02-16",0
