date,value
"2020-04-05",-43
"2020-04-04",-49
"2020-04-03",-43
"2020-04-02",-42
"2020-04-01",-43
"2020-03-31",-41
"2020-03-30",-40
"2020-03-29",-44
"2020-03-28",-46
"2020-03-27",-44
"2020-03-26",-42
"2020-03-25",-42
"2020-03-24",-41
"2020-03-23",-31
"2020-03-22",-33
"2020-03-21",-31
"2020-03-20",-25
"2020-03-19",-21
"2020-03-18",-19
"2020-03-17",-15
"2020-03-16",-11
"2020-03-15",-10
"2020-03-14",-8
"2020-03-13",-6
"2020-03-12",-3
"2020-03-11",-3
"2020-03-10",-2
"2020-03-09",-2
"2020-03-08",0
"2020-03-07",1
"2020-03-06",-2
"2020-03-05",-3
"2020-03-04",-3
"2020-03-03",-1
"2020-03-02",-2
"2020-03-01",-2
"2020-02-29",-1
"2020-02-28",-2
"2020-02-27",-4
"2020-02-26",-6
"2020-02-25",-9
"2020-02-24",-9
"2020-02-23",-4
"2020-02-22",-2
"2020-02-21",-4
"2020-02-20",-3
"2020-02-19",-4
"2020-02-18",-4
"2020-02-17",-3
"2020-02-16",-3
