date,value
"2020-04-11",-49
"2020-04-10",-49
"2020-04-09",-48
"2020-04-08",-48
"2020-04-07",-47
"2020-04-06",-44
"2020-04-05",-50
"2020-04-04",-53
"2020-04-03",-48
"2020-04-02",-47
"2020-04-01",-48
"2020-03-31",-49
"2020-03-30",-46
"2020-03-29",-50
"2020-03-28",-52
"2020-03-27",-51
"2020-03-26",-48
"2020-03-25",-47
"2020-03-24",-45
"2020-03-23",-37
"2020-03-22",-37
"2020-03-21",-32
"2020-03-20",-23
"2020-03-19",-20
"2020-03-18",-17
"2020-03-17",-13
"2020-03-16",-8
"2020-03-15",-7
"2020-03-14",-7
"2020-03-13",-4
"2020-03-12",-3
"2020-03-11",-4
"2020-03-10",-3
"2020-03-09",-1
"2020-03-08",0
"2020-03-07",0
"2020-03-06",-1
"2020-03-05",-2
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",0
"2020-03-01",1
"2020-02-29",0
"2020-02-28",-1
"2020-02-27",-3
"2020-02-26",-5
"2020-02-25",-9
"2020-02-24",-9
"2020-02-23",-1
"2020-02-22",-3
"2020-02-21",-4
"2020-02-20",-3
"2020-02-19",-3
"2020-02-18",-6
"2020-02-17",-4
"2020-02-16",0
