date,value
"2020-04-11",-72
"2020-04-10",-83
"2020-04-09",-79
"2020-04-08",-72
"2020-04-07",-70
"2020-04-06",-67
"2020-04-05",-48
"2020-04-04",-57
"2020-04-03",-63
"2020-04-02",-65
"2020-04-01",-65
"2020-03-31",-64
"2020-03-30",-64
"2020-03-29",-50
"2020-03-28",-60
"2020-03-27",-65
"2020-03-26",-68
"2020-03-25",-68
"2020-03-24",-68
"2020-03-23",-66
"2020-03-22",-55
"2020-03-21",-39
"2020-03-20",-38
"2020-03-19",-33
"2020-03-18",-23
"2020-03-17",-17
"2020-03-16",-11
"2020-03-15",-5
"2020-03-14",-1
"2020-03-13",-1
"2020-03-12",-4
"2020-03-11",0
"2020-03-10",5
"2020-03-09",6
"2020-03-08",4
"2020-03-07",4
"2020-03-06",7
"2020-03-05",8
"2020-03-04",5
"2020-03-03",5
"2020-03-02",6
"2020-03-01",6
"2020-02-29",5
"2020-02-28",7
"2020-02-27",7
"2020-02-26",4
"2020-02-25",4
"2020-02-24",4
"2020-02-23",4
"2020-02-22",2
"2020-02-21",4
"2020-02-20",7
"2020-02-19",3
"2020-02-18",3
"2020-02-17",4
"2020-02-16",5
